t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps,sensor_left,sensor_right,speed_command,turn_command
0.015,-0.04024169594049454,-0.0028128884732723236,1.0629478693008423,18.96095848083496,0.005631370935589075,0.8,0.8,0,0.0,0.0,0.8,0.0
0.03,0.023315321654081345,0.01034783199429512,1.0497885942459106,4.978684902191162,0.006399784702807665,0.8,0.8,0,0.0,0.0,0.8,0.0
0.045,0.17588700354099274,0.09025448560714722,1.0107678174972534,6.238626480102539,-0.009792818687856197,0.8,0.8,0,0.0,0.0,0.8,0.0
0.06,0.27138036489486694,-0.028647175058722496,1.0142673254013062,19.895570755004883,-0.008507229387760162,0.8,0.8,0,0.0,0.0,0.8,0.0
0.075,0.3945421576499939,-0.016541345044970512,0.9512065649032593,11.37607479095459,-0.04519163444638252,0.8,0.8,0,0.0,0.0,0.8,0.0
0.09,0.5063841342926025,0.005619829520583153,0.9883683919906616,5.637027263641357,0.02800159342586994,0.8,0.8,0,0.0,0.0,0.8,0.0
0.105,0.6533875465393066,0.051708996295928955,1.0343769788742065,8.893879890441895,0.027340121567249298,0.8,0.8,0,0.0,0.0,0.8,0.0
0.12,0.8862463235855103,0.1788204163312912,0.9835832118988037,19.375356674194336,-0.005227602086961269,0.8,0.8,0,0.0,0.0,0.8,0.0
0.135,0.9537623524665833,0.03419119119644165,1.0682419538497925,10.334568977355957,-0.05893471837043762,0.8,0.8,0,0.0,0.0,0.8,0.0
0.15,1.1353141069412231,-0.04049248248338699,1.0239754915237427,20.957815170288086,-0.053007856011390686,0.8,0.8,0,0.0,0.0,0.8,0.0
0.16499999999999998,1.358480453491211,-0.05485793575644493,1.0890777111053467,15.079527854919434,-0.022462990134954453,0.8,0.8,0,0.0,0.0,0.8,0.0
0.18,1.446022629737854,0.00938623771071434,1.1092116832733154,14.522737503051758,0.04591919109225273,0.8,0.8,0,0.0,0.0,0.8,0.0
0.195,1.6517335176467896,0.10973850637674332,1.0704935789108276,24.268068313598633,0.046223901212215424,0.8,0.8,0,0.0,0.0,0.8,0.0
0.21,1.8501616716384888,0.07456579059362411,1.134968638420105,5.274429798126221,-0.025702301412820816,0.8,0.8,0,1.0,1.0,0.8,0.0
0.22499999999999998,1.9335191249847412,-0.002722789766266942,1.116227149963379,1.819587230682373,-0.09429651498794556,0.8,0.8,0,1.0,1.0,0.8,0.0
0.24,2.1748011112213135,-0.16245298087596893,1.1241203546524048,18.654132843017578,-0.0765540823340416,0.8,0.8,0,1.0,1.0,0.8,0.0
0.255,2.302903413772583,-0.05528496950864792,1.1763345003128052,4.631091117858887,0.014789595268666744,0.8,0.8,0,1.0,1.0,0.8,0.0
0.27,2.4845452308654785,-0.019366426393389702,1.1166716814041138,13.508269309997559,0.0620448924601078,0.8,0.8,0,1.0,1.0,0.8,0.0
0.285,2.7453362941741943,0.11888466030359268,1.1322190761566162,20.807857513427734,0.034745872020721436,0.8,0.8,0,1.0,1.0,0.8,0.0
0.3,2.837831974029541,0.010886766016483307,1.1871280670166016,11.160523414611816,-0.06210257112979889,0.8,0.8,0,1.0,1.0,0.8,0.0
0.315,3.0357980728149414,-0.05394737422466278,1.0977470874786377,20.739784240722656,-0.059430286288261414,0.8,0.8,0,1.0,1.0,0.8,0.0
0.32999999999999996,3.2698869705200195,-0.11605353653430939,1.130265474319458,20.828187942504883,-0.04430082067847252,0.8,0.8,0,1.0,1.0,0.8,0.0
0.345,3.3583812713623047,-0.029724566265940666,1.1601331233978271,23.178363800048828,0.05204172804951668,0.8,0.8,0,1.0,1.0,0.8,0.0
0.36,3.5636534690856934,0.06965888291597366,1.0903773307800293,28.156696319580078,0.07125123590230942,0.8,0.8,0,1.0,1.0,0.8,0.0
0.375,3.8220062255859375,0.06291642040014267,1.153738260269165,10.675487518310547,0.005394268315285444,0.8,0.8,0,1.0,1.0,0.8,0.0
0.39,3.8943939208984375,-0.011925621889531612,1.1576820611953735,10.624998092651367,-0.057027556002140045,0.8,0.8,0,1.0,1.0,0.8,0.0
0.40499999999999997,4.139796257019043,-0.16014569997787476,1.1459619998931885,23.2200927734375,-0.04455983266234398,0.8,0.8,0,1.0,1.0,0.8,0.0
0.42,4.312289714813232,-0.058489471673965454,1.1952177286148071,4.811746120452881,0.033452991396188736,0.8,0.8,0,1.0,1.0,0.8,0.0
0.435,4.45209264755249,-0.011292966082692146,1.1559600830078125,5.632236957550049,0.10002542287111282,0.8,0.8,0,1.0,1.0,0.8,0.0
0.44999999999999996,4.694213390350342,0.16146400570869446,1.123686671257019,17.235572814941406,0.07835649698972702,0.8,0.8,0,1.0,1.0,0.8,0.0
0.46499999999999997,4.773428916931152,0.028689470142126083,1.1664435863494873,7.899552822113037,-0.014715982601046562,0.8,0.8,0,1.0,1.0,0.8,0.0
0.48,4.9717206954956055,-0.008710647001862526,1.1051762104034424,19.110715866088867,-0.057409096509218216,0.8,0.8,0,1.0,1.0,0.8,0.0
0.495,5.267671585083008,-0.14392375946044922,1.1450855731964111,20.717451095581055,-0.03145941346883774,0.8,0.8,0,1.0,1.0,0.8,0.0
0.51,5.312246799468994,-0.02259759232401848,1.17948317527771,19.57023811340332,0.04111862927675247,0.8,0.8,0,1.0,1.0,0.8,0.0
0.525,5.552557468414307,0.03589425981044769,1.1023484468460083,26.627790451049805,0.0349511094391346,0.8,0.8,0,1.0,1.0,0.8,0.0
0.54,5.793429851531982,0.04755983501672745,1.1431257724761963,16.260337829589844,-0.002115690615028143,0.8,0.8,0,1.0,1.0,0.8,0.0
0.5549999999999999,5.898338794708252,-0.018286943435668945,1.1590006351470947,20.057819366455078,-0.09727779030799866,0.8,0.8,0,1.0,1.0,0.8,0.0
0.57,6.118229389190674,-0.18042542040348053,1.1164467334747314,28.242733001708984,-0.09777046740055084,0.8,0.8,0,1.0,1.0,0.8,0.0
0.585,6.321070194244385,-0.12226664274930954,1.163713812828064,6.0307512283325195,-0.028861740604043007,0.8,0.8,0,1.0,1.0,0.8,0.0
0.6,6.425102233886719,-0.05665699765086174,1.1347674131393433,4.283681869506836,0.057046402245759964,0.8,0.8,0,1.0,1.0,0.8,0.0
0.615,6.66581392288208,0.09084797650575638,1.1298693418502808,21.320270538330078,0.037748757749795914,0.8,0.8,0,1.0,1.0,0.8,0.0
0.63,6.789318561553955,-0.028214914724230766,1.1801129579544067,3.9730753898620605,-0.05008635297417641,0.8,0.8,0,1.0,1.0,0.8,0.0
0.645,6.976088523864746,-0.08883427828550339,1.1190848350524902,16.663511276245117,-0.08942942321300507,0.8,0.8,0,1.0,1.0,0.8,0.0
0.6599999999999999,7.248719215393066,-0.24216386675834656,1.1427772045135498,20.677425384521484,-0.06799135357141495,0.8,0.8,0,1.0,1.0,0.8,0.0
0.6749999999999999,7.309436798095703,-0.11411048471927643,1.1852173805236816,12.05559253692627,0.026411019265651703,0.8,0.8,0,1.0,1.0,0.8,0.0
0.69,7.538418769836426,-0.06831580400466919,1.0994843244552612,19.87481689453125,0.04398355633020401,0.8,0.8,0,1.0,1.0,0.8,0.0
0.705,7.808350086212158,0.0114706140011549,1.1420433521270752,20.52142333984375,0.012243328616023064,0.8,0.8,0,1.0,1.0,0.8,0.0
0.72,7.882114410400391,-0.08591858297586441,1.171243667602539,18.433589935302734,-0.06797483563423157,0.8,0.8,0,1.0,1.0,0.8,0.0
0.735,8.091362953186035,-0.1850469559431076,1.1004120111465454,26.942123413085938,-0.0775257870554924,0.8,0.8,0,1.0,1.0,0.8,0.0
0.75,8.34183406829834,-0.17594653367996216,1.1534279584884644,9.37894344329834,-0.014371358789503574,0.8,0.8,0,1.0,1.0,0.8,0.0
0.765,8.42900276184082,-0.09200339019298553,1.148408055305481,14.89111042022705,0.05263505503535271,0.8,0.8,0,1.0,1.0,0.8,0.0
0.78,8.671339988708496,0.055317223072052,1.1336373090744019,26.21807861328125,0.05486492067575455,0.8,0.8,0,1.0,1.0,0.8,0.0
0.7949999999999999,8.815317153930664,-0.06067175045609474,1.1726099252700806,7.921388626098633,-0.03304823487997055,0.8,0.8,0,1.0,1.0,0.8,0.0
0.8099999999999999,8.97363567352295,-0.10324643552303314,1.1350842714309692,6.763340473175049,-0.08865807205438614,0.8,0.8,0,1.0,1.0,0.8,0.0
0.825,9.235701560974121,-0.25406789779663086,1.1348562240600586,24.570314407348633,-0.062290724366903305,0.8,0.8,0,1.0,1.0,0.8,0.0
0.84,9.338613510131836,-0.14634814858436584,1.1854724884033203,7.826616287231445,0.05920784920454025,0.8,0.8,0,1.0,1.0,0.8,0.0
0.855,9.53174114227295,-0.09500028192996979,1.126728892326355,21.991310119628906,0.08487886190414429,0.8,0.8,0,1.0,1.0,0.8,0.0
0.87,9.852930068969727,0.07704264670610428,1.1626216173171997,21.809309005737305,0.04912983998656273,0.8,0.8,0,1.0,1.0,0.8,0.0
0.885,9.907812118530273,-0.05775736644864082,1.2028608322143555,17.181425094604492,-0.018405821174383163,0.8,0.8,0,1.0,1.0,0.8,0.0
0.8999999999999999,10.137845039367676,-0.10693570971488953,1.1112514734268188,27.262392044067383,-0.03464488312602043,0.8,0.8,0,1.0,1.0,0.8,0.0
0.9149999999999999,10.408293724060059,-0.14090131223201752,1.1591742038726807,16.452335357666016,0.012974664568901062,0.8,0.8,0,1.0,1.0,0.8,0.0
0.9299999999999999,10.47545051574707,-0.052527014166116714,1.1746118068695068,15.863170623779297,0.07938312739133835,0.8,0.8,0,1.0,1.0,0.8,0.0
0.945,10.689882278442383,0.08676457405090332,1.1302130222320557,25.640256881713867,0.08424647152423859,0.8,0.8,0,1.0,1.0,0.8,0.0
0.96,10.912256240844727,0.02515251375734806,1.1766362190246582,5.651571273803711,0.008169073611497879,0.8,0.8,0,1.0,1.0,0.8,0.0
0.975,11.03339672088623,-0.047489065676927567,1.1558146476745605,4.940810203552246,-0.05421748012304306,0.8,0.8,0,1.0,1.0,0.8,0.0
0.99,11.296162605285645,-0.20634812116622925,1.126210331916809,22.006420135498047,-0.033131081610918045,0.8,0.8,0,1.0,1.0,0.8,0.0
1.005,11.418413162231445,-0.0830773189663887,1.1914526224136353,2.804713726043701,0.058412011712789536,0.8,0.8,0,1.0,1.0,0.8,0.0
