t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps,sensor_left,sensor_right,speed_command,turn_command
0.015,0.12026021629571915,-0.006872149184346199,0.9650099873542786,36.50788116455078,-0.017758464440703392,0.8,0.8,0,0.0,0.0,0.8,0.0
0.03,0.19778458774089813,0.014575879089534283,1.0356141328811646,4.1121506690979,0.03085235133767128,0.8,0.8,0,0.0,0.0,0.8,0.0
0.045,0.3018679618835449,-0.03468945249915123,1.0536251068115234,8.698286056518555,0.03738327696919441,0.8,0.8,0,0.0,0.0,0.8,0.0
0.06,0.42992672324180603,0.00017230304365511984,1.0795234441757202,6.013686180114746,0.04768771678209305,0.8,0.8,0,0.0,0.0,0.8,0.0
0.075,0.5168407559394836,-0.02010464482009411,1.0407918691635132,9.959965705871582,0.005338792689144611,0.8,0.8,0,0.0,0.0,0.8,0.0
0.09,0.6849966645240784,-0.03868041932582855,1.0319558382034302,15.878626823425293,-0.06719096004962921,0.8,0.8,0,0.0,0.0,0.8,0.0
0.105,0.8996681571006775,-0.12392780184745789,0.9086615443229675,18.016525268554688,-0.026130614802241325,0.8,0.8,0,0.0,0.0,0.8,0.0
0.12,0.9809707403182983,-0.0518466979265213,0.9575940370559692,7.051358222961426,0.018573924899101257,0.8,0.8,0,0.0,0.0,0.8,0.0
0.135,1.1439934968948364,-0.021849647164344788,0.9851036071777344,20.087602615356445,0.021136151626706123,0.8,0.8,0,0.0,0.0,0.8,0.0
0.15,1.327391505241394,0.095099538564682,0.9268704652786255,18.64188575744629,0.015882223844528198,0.8,0.8,0,0.0,0.0,0.8,0.0
0.16499999999999998,1.3782670497894287,-0.03681117668747902,1.0092799663543701,10.345240592956543,-0.07852757722139359,0.8,0.8,0,0.0,0.0,0.8,0.0
0.18,1.5856001377105713,-0.1071743294596672,0.9463320374488831,29.706872940063477,-0.10162213444709778,0.8,0.8,0,0.0,0.0,0.8,0.0
0.195,1.7557201385498047,-0.11992955952882767,1.0221033096313477,12.05256175994873,-0.06819534301757812,0.8,0.8,0,0.0,0.0,0.8,0.0
0.21,1.8368852138519287,-0.04363623633980751,1.0119436979293823,12.571516990661621,0.02452453225851059,0.8,0.8,0,0.0,0.0,0.8,0.0
0.22499999999999998,2.0788462162017822,0.08735651522874832,1.0388349294662476,21.213565826416016,0.027491707354784012,0.8,0.8,0,0.0,0.0,0.8,0.0
0.24,2.213930130004883,0.0058702523820102215,1.0787497758865356,2.039247512817383,-0.04255025461316109,0.8,0.8,0,0.0,0.0,0.8,0.0
0.255,2.322528123855591,-0.05246127024292946,1.0638461112976074,4.4211225509643555,-0.12128271162509918,0.8,0.8,0,0.0,0.0,0.8,0.0
0.27,2.564500093460083,-0.21646066009998322,1.0914825201034546,17.129793167114258,-0.10284800827503204,0.8,0.8,0,0.0,0.0,0.8,0.0
0.285,2.4027047157287598,-0.07480234652757645,1.0821305513381958,7.672537803649902,-0.05712587386369705,0.0,0.0,0,1.0,1.0,0.0,0.0
0.3,2.344541072845459,-0.003469757968559861,1.1425535678863525,8.704788208007812,-0.006047127302736044,0.0,0.0,0,1.0,1.0,0.0,0.0
0.315,2.2598323822021484,-0.0036053084768354893,1.128761649131775,4.371780872344971,0.030704213306307793,0.0,0.0,0,1.0,1.0,0.0,0.0
0.32999999999999996,2.1832211017608643,-0.04544828459620476,1.1075279712677002,8.634045600891113,0.022533725947141647,0.0,0.0,0,1.0,1.0,0.0,0.0
0.345,2.1653409004211426,-0.08007017523050308,1.1306006908416748,0.2761108875274658,0.005501486361026764,0.0,0.0,0,1.0,1.0,0.0,0.0
0.36,2.1355745792388916,-0.07440149784088135,1.1204986572265625,1.9253202676773071,-0.010437637567520142,0.0,0.0,0,1.0,1.0,0.0,0.0
0.375,2.1594676971435547,-0.03363595902919769,1.1347451210021973,6.355286121368408,0.007047201506793499,0.0,0.0,0,1.0,1.0,0.0,0.0
0.39,2.177372694015503,-0.017462609335780144,1.1507720947265625,1.6745885610580444,0.00844312459230423,0.0,0.0,0,1.0,1.0,0.0,0.0
0.40499999999999997,2.1704485416412354,-0.013052107766270638,1.153921365737915,1.9403132200241089,0.002580519299954176,0.0,0.0,0,1.0,1.0,0.0,0.0
0.42,2.197068214416504,-0.05668868124485016,1.14805269241333,3.3617141246795654,0.0015554599231109023,0.0,0.0,0,1.0,1.0,0.0,0.0
0.435,2.1809327602386475,-0.055747803300619125,1.1387842893600464,0.43375280499458313,-0.0030099896248430014,0.0,0.0,0,1.0,1.0,0.0,0.0
0.44999999999999996,2.17627215385437,-0.05184321850538254,1.1399352550506592,0.15256530046463013,-0.0012616878375411034,0.0,0.0,0,1.0,1.0,0.0,0.0
0.46499999999999997,2.1827425956726074,-0.03796950355172157,1.1338900327682495,2.697556495666504,-0.0007675179513171315,0.0,0.0,0,1.0,1.0,0.0,0.0
0.48,2.181896209716797,-0.043179724365472794,1.126023292541504,0.6102782487869263,-0.0005196888232603669,0.0,0.0,0,1.0,1.0,0.0,0.0
0.495,2.181401252746582,-0.04519094154238701,1.1213150024414062,2.2794389724731445,-0.0033513884991407394,0.0,0.0,0,1.0,1.0,0.0,0.0
0.51,2.1872735023498535,-0.05493750423192978,1.1163902282714844,0.24895185232162476,0.0005544205196201801,0.0,0.0,0,1.0,1.0,0.0,0.0
0.525,2.185202121734619,-0.056023579090833664,1.1141812801361084,0.41105949878692627,0.0029207710176706314,0.0,0.0,0,1.0,1.0,0.0,0.0
0.54,2.1841182708740234,-0.05580377206206322,1.1134370565414429,0.7804120779037476,0.0028001253958791494,0.0,0.0,0,1.0,1.0,0.0,0.0
0.5549999999999999,2.1837337017059326,-0.05751902610063553,1.1124324798583984,0.4183201491832733,-0.0005304697551764548,0.0,0.0,0,1.0,1.0,0.0,0.0
0.57,2.1840689182281494,-0.0561678521335125,1.1122606992721558,0.14746081829071045,-0.001645799377001822,0.0,0.0,0,1.0,1.0,0.0,0.0
0.585,2.193488836288452,-0.050245240330696106,1.122398018836975,4.26785135269165,0.0018967898795381188,0.0,0.0,0,1.0,1.0,0.0,0.0
0.6,2.186211109161377,-0.053522348403930664,1.1163119077682495,0.8269063234329224,0.0012642393121495843,0.0,0.0,0,1.0,1.0,0.0,0.0
0.615,2.183157444000244,-0.05360062047839165,1.1128069162368774,0.13825154304504395,0.0023141910787671804,0.0,0.0,0,1.0,1.0,0.0,0.0
0.63,2.1881067752838135,-0.05556905269622803,1.118353247642517,1.7415059804916382,-0.004335999023169279,0.0,0.0,0,1.0,1.0,0.0,0.0
0.645,2.1823811531066895,-0.055697690695524216,1.112146019935608,0.3926664888858795,-0.0029853524174541235,0.0,0.0,0,1.0,1.0,0.0,0.0
0.6599999999999999,2.1821718215942383,-0.055124640464782715,1.1105784177780151,0.07770292460918427,-0.00359683227725327,0.0,0.0,0,1.0,1.0,0.0,0.0
