t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps,sensor_left,sensor_right,speed_command,turn_command
0.015,-0.02164217084646225,0.012809790670871735,1.065830111503601,15.384997367858887,0.001061157789081335,0.8,0.8,0,0.0,0.0,0.8,0.0
0.03,0.04304611310362816,-0.010624276474118233,1.061592698097229,8.170211791992188,0.009662625379860401,0.8,0.8,0,0.0,0.0,0.8,0.0
0.045,0.20096878707408905,0.057326290756464005,0.9900668263435364,20.81639862060547,0.05809006467461586,0.8,0.8,0,0.0,0.0,0.8,0.0
0.06,0.2920725643634796,0.07351994514465332,0.9361129999160767,2.756770133972168,0.0546615906059742,0.8,0.8,0,0.0,0.0,0.8,0.0
0.075,0.37266063690185547,0.06644225120544434,0.9617313146591187,8.510727882385254,0.06133567541837692,0.8,0.8,0,0.0,0.0,0.8,0.0
0.09,0.5013768076896667,0.027520885691046715,0.978149950504303,1.1647578477859497,-0.020174633711576462,0.8,0.8,0,0.0,0.0,0.8,0.0
0.105,0.6716610789299011,-0.0019178554648533463,1.0107667446136475,7.8005475997924805,0.03057289496064186,0.8,0.8,0,0.0,0.0,0.8,0.0
0.12,0.8915331959724426,-0.05013464763760567,1.0400052070617676,14.161343574523926,0.06852050125598907,0.8,0.8,0,0.0,0.0,0.8,0.0
0.135,0.9658839702606201,0.06995858997106552,0.988641083240509,13.826005935668945,0.09224922955036163,0.8,0.8,0,0.0,0.0,0.8,0.0
0.15,1.175156593322754,0.20397412776947021,1.0065127611160278,10.774657249450684,0.11153728514909744,0.8,0.8,0,0.0,0.0,0.8,0.0
0.16499999999999998,1.280552625656128,0.11932023614645004,1.0451529026031494,5.131104469299316,0.0072371261194348335,0.8,0.8,0,0.0,0.0,0.8,0.0
0.18,1.4465137720108032,0.05238675698637962,1.0538352727890015,19.094789505004883,-0.014522897079586983,0.8,0.8,0,0.0,0.0,0.8,0.0
0.195,1.4476736783981323,0.0967983603477478,1.1636426448822021,15.338911056518555,0.034696031361818314,0.0,0.0,0,1.0,1.0,0.0,0.0
0.21,1.3462927341461182,0.11684206128120422,1.1670645475387573,11.863316535949707,0.0914992094039917,0.0,0.0,0,1.0,1.0,0.0,0.0
0.22499999999999998,1.2254971265792847,0.0975441038608551,1.1305361986160278,9.99647331237793,0.07466669380664825,0.0,0.0,0,1.0,1.0,0.0,0.0
0.24,1.1910232305526733,0.05176827311515808,1.1387065649032593,4.959505081176758,0.046846240758895874,0.0,0.0,0,1.0,1.0,0.0,0.0
0.255,1.1405097246170044,0.04748482629656792,1.129006028175354,2.6529369354248047,0.02337130904197693,0.0,0.0,0,1.0,1.0,0.0,0.0
0.27,1.1057333946228027,0.06054496765136719,1.1257917881011963,7.222517490386963,0.035332225263118744,0.0,0.0,0,1.0,1.0,0.0,0.0
0.285,1.1178112030029297,0.09233018755912781,1.141420602798462,2.9618189334869385,0.04274933785200119,0.0,0.0,0,1.0,1.0,0.0,0.0
0.3,1.115530252456665,0.10528681427240372,1.1318271160125732,1.765909194946289,0.051374971866607666,0.0,0.0,0,1.0,1.0,0.0,0.0
0.315,1.1342213153839111,0.0688774511218071,1.1339163780212402,3.1603565216064453,0.049500007182359695,0.0,0.0,0,1.0,1.0,0.0,0.0
0.32999999999999996,1.124354362487793,0.06364640593528748,1.1360894441604614,0.614695131778717,0.04936572164297104,0.0,0.0,0,1.0,1.0,0.0,0.0
0.345,1.1192913055419922,0.0657878890633583,1.1319348812103271,0.7742587924003601,0.049699656665325165,0.0,0.0,0,1.0,1.0,0.0,0.0
0.36,1.1315120458602905,0.08566194027662277,1.130982518196106,2.7275032997131348,0.05005988851189613,0.0,0.0,0,1.0,1.0,0.0,0.0
0.375,1.122433066368103,0.08611061424016953,1.1261862516403198,0.523773729801178,0.05272241309285164,0.0,0.0,0,1.0,1.0,0.0,0.0
0.39,1.1226071119308472,0.08758995682001114,1.1224900484085083,0.09691191464662552,0.052535541355609894,0.0,0.0,0,1.0,1.0,0.0,0.0
0.40499999999999997,1.1253528594970703,0.08332084119319916,1.1226937770843506,0.2772340774536133,0.05125248804688454,0.0,0.0,0,1.0,1.0,0.0,0.0
0.42,1.1200252771377563,0.08292588591575623,1.1161596775054932,0.4004822075366974,0.052662722766399384,0.0,0.0,0,1.0,1.0,0.0,0.0
0.435,1.1197797060012817,0.08244705945253372,1.115022897720337,0.17049047350883484,0.05332677811384201,0.0,0.0,0,1.0,1.0,0.0,0.0
0.44999999999999996,1.1166716814041138,0.07941624522209167,1.115161418914795,1.2730149030685425,0.04907552897930145,0.0,0.0,0,1.0,1.0,0.0,0.0
0.46499999999999997,1.117512822151184,0.07884726673364639,1.1147829294204712,0.2223079651594162,0.04914068803191185,0.0,0.0,0,1.0,1.0,0.0,0.0
0.48,1.1155123710632324,0.08199378848075867,1.1161460876464844,1.5988956689834595,0.048826463520526886,0.0,0.0,0,1.0,1.0,0.0,0.0
0.495,1.1202263832092285,0.08231595903635025,1.117499828338623,1.3677483797073364,0.05301491171121597,0.0,0.0,0,1.0,1.0,0.0,0.0
0.51,1.1201372146606445,0.08076264709234238,1.1171189546585083,0.6405425071716309,0.05528579279780388,0.0,0.0,0,1.0,1.0,0.0,0.0
0.525,1.1234686374664307,0.07932092994451523,1.1193788051605225,3.408076047897339,0.04863419383764267,0.0,0.0,0,1.0,1.0,0.0,0.0
0.54,1.1209605932235718,0.07977210730314255,1.1179673671722412,0.649807333946228,0.04961822181940079,0.0,0.0,0,1.0,1.0,0.0,0.0
0.5549999999999999,1.1203151941299438,0.08021504431962967,1.1164113283157349,0.11717721074819565,0.04859542101621628,0.0,0.0,0,1.0,1.0,0.0,0.0
0.57,1.121286392211914,0.07978156208992004,1.118107795715332,2.0768275260925293,0.04867498204112053,0.0,0.0,0,1.0,1.0,0.0,0.0
0.585,1.1168007850646973,0.08033154159784317,1.1135445833206177,0.3534719944000244,0.052459966391325,0.0,0.0,0,1.0,1.0,0.0,0.0
0.6,1.115351915359497,0.08066602796316147,1.1119275093078613,0.07813788950443268,0.05252798646688461,0.0,0.0,0,1.0,1.0,0.0,0.0
0.615,1.1174092292785645,0.08226478099822998,1.1139934062957764,2.754335880279541,0.04671337828040123,0.0,0.0,0,1.0,1.0,0.0,0.0
0.63,1.1166212558746338,0.07994430512189865,1.1121529340744019,0.5524935722351074,0.04664834588766098,0.0,0.0,0,1.0,1.0,0.0,0.0
0.645,1.1164114475250244,0.07958991825580597,1.111708641052246,0.09942228347063065,0.04616399109363556,0.0,0.0,0,1.0,1.0,0.0,0.0
0.6599999999999999,1.1138302087783813,0.08054786920547485,1.107712984085083,0.876300036907196,0.05014820769429207,0.0,0.0,0,1.0,1.0,0.0,0.0
0.6749999999999999,1.1160322427749634,0.08093667030334473,1.1097697019577026,0.5266886353492737,0.049774929881095886,0.0,0.0,0,1.0,1.0,0.0,0.0
0.69,1.11514151096344,0.07953187078237534,1.1088356971740723,0.6584912538528442,0.04993341118097305,0.0,0.0,0,1.0,1.0,0.0,0.0
0.705,1.1170870065689087,0.07999265938997269,1.1102086305618286,0.13761185109615326,0.04924326390028,0.0,0.0,0,1.0,1.0,0.0,0.0
0.72,1.1169236898422241,0.07993533462285995,1.1098339557647705,0.051871541887521744,0.04914870858192444,0.0,0.0,0,1.0,1.0,0.0,0.0
0.735,1.1146588325500488,0.08025944977998734,1.10714852809906,0.6297340989112854,0.05042605847120285,0.0,0.0,0,1.0,1.0,0.0,0.0
0.75,1.1142088174819946,0.08030306547880173,1.106436848640442,0.1732097566127777,0.05231694504618645,0.0,0.0,0,1.0,1.0,0.0,0.0
0.765,1.1135400533676147,0.07936258614063263,1.1056954860687256,0.16287949681282043,0.052043188363313675,0.0,0.0,0,1.0,1.0,0.0,0.0
0.78,1.1182111501693726,0.07995529472827911,1.1106349229812622,3.252687931060791,0.04562447592616081,0.0,0.0,0,1.0,1.0,0.0,0.0
0.7949999999999999,1.1142555475234985,0.07865789532661438,1.105062484741211,0.4336690604686737,0.04599645361304283,0.0,0.0,0,1.0,1.0,0.0,0.0
0.8099999999999999,1.1136666536331177,0.07833410799503326,1.1041523218154907,0.07214303314685822,0.04568752273917198,0.0,0.0,0,1.0,1.0,0.0,0.0
0.825,1.1196141242980957,0.08043313026428223,1.1078438758850098,1.014233946800232,0.050729334354400635,0.0,0.0,0,1.0,1.0,0.0,0.0
