t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps
0.015,0.07165852189064026,-0.0025169800501316786,1.111340045928955,22.88829231262207,-0.006720042321830988,1.0,1.0,0
0.03,0.1926707625389099,-0.0012113817501813173,1.1360222101211548,6.3076324462890625,0.0025396759156137705,1.0,1.0,0
0.045,0.22059257328510284,0.10622476041316986,1.0783448219299316,4.950651168823242,0.06981092691421509,1.0,1.0,0
0.06,0.38206082582473755,0.23474739491939545,0.8994284272193909,12.709328651428223,0.13760952651500702,1.0,1.0,0
0.075,0.5879371762275696,0.32420992851257324,0.9383555054664612,12.50967788696289,0.1385478377342224,1.0,1.0,0
0.09,0.7301062345504761,0.3015839159488678,0.9634144306182861,11.93898868560791,0.10290698707103729,1.0,1.0,0
0.105,0.875876784324646,0.2498677670955658,0.9605894088745117,17.33485221862793,0.09981678426265717,1.0,1.0,0
0.12,1.0687988996505737,0.2001514881849289,0.9119424819946289,5.053203582763672,0.15843573212623596,1.0,1.0,0
0.135,1.087348461151123,0.38698235154151917,0.9405316710472107,9.337780952453613,0.24082940816879272,1.0,1.0,0
0.15,1.3338347673416138,0.5703868269920349,0.9340780973434448,26.649391174316406,0.2542324364185333,1.0,1.0,0
0.16499999999999998,1.5412933826446533,0.5309205651283264,1.0203646421432495,2.3060545921325684,0.20133568346500397,1.0,1.0,0
0.18,1.6563528776168823,0.48041656613349915,1.0061134099960327,1.5925642251968384,0.09401026368141174,1.0,1.0,0
0.195,2.0378921031951904,0.3326970636844635,1.0711028575897217,20.40353012084961,0.12391582876443863,1.0,1.0,0
0.21,2.1554923057556152,0.4802705943584442,1.127385139465332,3.4031598567962646,0.22371941804885864,1.0,1.0,0
0.22499999999999998,2.344447135925293,0.5549424886703491,1.0779354572296143,20.50932502746582,0.2803293764591217,1.0,1.0,0
0.24,2.567401170730591,0.7551127076148987,1.0814200639724731,23.56363868713379,0.2671230733394623,1.0,1.0,0
0.255,2.711651563644409,0.663917601108551,1.1365631818771362,11.412687301635742,0.1410583257675171,1.0,1.0,0
0.27,2.9539313316345215,0.6186462044715881,1.122132658958435,42.46638488769531,0.10337987542152405,1.0,1.0,0
0.285,3.38411808013916,0.5193314552307129,1.1581146717071533,30.05524253845215,0.1617308408021927,1.0,1.0,0
0.3,3.425856113433838,0.6708765625953674,1.1935181617736816,23.858564376831055,0.24247503280639648,1.0,1.0,0
0.315,3.6593611240386963,0.8175293803215027,1.107954502105713,24.89931297302246,0.23519520461559296,1.0,1.0,0
0.32999999999999996,3.945608139038086,0.8492045998573303,1.1588636636734009,13.282746315002441,0.1735016256570816,1.0,1.0,0
0.345,4.086052417755127,0.7612477540969849,1.1588125228881836,24.005924224853516,0.0944431871175766,1.0,1.0,0
0.36,4.310604572296143,0.6934517621994019,1.0484484434127808,29.124277114868164,0.07505424320697784,1.0,1.0,0
0.375,4.530938625335693,0.8297491669654846,1.1513075828552246,8.411101341247559,0.18993805348873138,1.0,1.0,0
0.39,4.6206207275390625,0.9156217575073242,1.0920861959457397,10.203550338745117,0.2664957046508789,1.0,1.0,0
0.40499999999999997,4.882005214691162,1.1135090589523315,1.110386848449707,24.369293212890625,0.2512044906616211,1.0,1.0,0
0.42,5.0252909660339355,0.9908125400543213,1.1630702018737793,6.058714866638184,0.12337034940719604,1.0,1.0,0
0.435,5.233635902404785,0.9634198546409607,1.1128230094909668,26.884647369384766,0.0611005499958992,1.0,1.0,0
0.44999999999999996,5.6160454750061035,0.8274173736572266,1.1269166469573975,26.343055725097656,0.0963185727596283,1.0,1.0,0
