t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps,sensor_left,sensor_right,speed_command,turn_command
0.015,0.056217778474092484,-0.03041750006377697,1.0663319826126099,18.78880500793457,0.0014200578443706036,0.8,0.8,0,0.0,0.0,0.8,0.0
0.03,0.17780174314975739,-0.04918219894170761,1.0459719896316528,0.6292674541473389,-0.0010706102475523949,0.8,0.8,0,0.0,0.0,0.8,0.0
0.045,0.15123982727527618,-0.08713614195585251,1.0247169733047485,2.393505096435547,-0.03918987885117531,0.8,0.8,0,0.0,0.0,0.8,0.0
0.06,0.28846800327301025,-0.07842761278152466,1.1029106378555298,7.84067440032959,-0.0674070194363594,0.8,0.8,0,0.0,0.0,0.8,0.0
0.075,0.4171297252178192,-0.10467176139354706,1.099993109703064,11.307302474975586,-0.0431303046643734,0.8,0.8,0,0.0,0.0,0.8,0.0
0.09,0.6125084757804871,-0.21682779490947723,1.0359456539154053,10.508594512939453,-0.027254357933998108,0.8,0.8,0,0.0,0.0,0.8,0.0
0.105,0.7019936442375183,-0.17594997584819794,1.0948437452316284,8.201493263244629,-0.03170553967356682,0.8,0.8,0,0.0,0.0,0.8,0.0
0.12,0.7830612063407898,-0.10003761947154999,1.04729163646698,13.264119148254395,-0.04371277615427971,0.8,0.8,0,0.0,0.0,0.8,0.0
0.135,1.010496973991394,-0.08093222975730896,1.131447196006775,20.31507682800293,-0.05837155878543854,0.8,0.8,0,0.0,0.0,0.8,0.0
0.15,1.2361942529678345,-0.05168710649013519,1.1835139989852905,19.049428939819336,-0.07364968210458755,0.8,0.8,0,0.0,0.0,0.8,0.0
0.16499999999999998,1.3735226392745972,-0.14429809153079987,1.0741150379180908,13.09610652923584,-0.07897774130105972,0.8,0.8,0,0.0,0.0,0.8,0.0
0.18,1.621232271194458,-0.22559021413326263,1.1301155090332031,18.522367477416992,-0.07787720113992691,0.8,0.8,0,0.0,0.0,0.8,0.0
0.195,1.697446584701538,-0.15106618404388428,1.1660127639770508,13.092520713806152,0.0015841868007555604,0.8,0.8,0,0.0,0.0,0.8,0.0
0.21,1.9185235500335693,-0.05524096637964249,1.1115074157714844,25.82300567626953,-0.015478498302400112,0.8,0.8,0,0.0,0.0,0.8,0.0
0.22499999999999998,2.1647262573242188,-0.07878973335027695,1.1680701971054077,14.499868392944336,-0.03960791230201721,0.8,0.8,0,0.0,0.0,0.8,0.0
0.24,2.2825918197631836,-0.13888011872768402,1.1675697565078735,18.058725357055664,-0.13308340311050415,0.8,0.8,0,0.0,0.0,0.8,0.0
0.255,2.477872848510742,-0.281206339597702,1.1050667762756348,26.674325942993164,-0.12895797193050385,0.8,0.8,0,0.0,0.0,0.8,0.0
0.27,2.6661694049835205,-0.2310042530298233,1.1554516553878784,2.8884053230285645,-0.07154858857393265,0.8,0.8,0,0.0,0.0,0.8,0.0
0.285,2.7955286502838135,-0.20481884479522705,1.146016001701355,2.590651750564575,-0.002984819933772087,0.8,0.8,0,0.0,0.0,0.8,0.0
0.3,3.0426483154296875,-0.06174898520112038,1.1356490850448608,21.102886199951172,-0.007172849494963884,0.8,0.8,0,0.0,0.0,0.8,0.0
0.315,3.157397985458374,-0.17933949828147888,1.1845555305480957,3.1104087829589844,-0.0945306196808815,0.8,0.8,0,0.0,0.0,0.8,0.0
0.32999999999999996,3.3086509704589844,-0.2487889677286148,1.1195331811904907,19.999858856201172,-0.14093144237995148,0.8,0.8,0,0.0,0.0,0.8,0.0
0.345,3.5750784873962402,-0.41163161396980286,1.139661192893982,20.49608039855957,-0.10990641266107559,0.8,0.8,0,0.0,0.0,0.8,0.0
0.36,3.6676552295684814,-0.2958006262779236,1.1946146488189697,10.06273078918457,-0.014277415350079536,0.8,0.8,0,0.0,0.0,0.8,0.0
0.375,3.8818721771240234,-0.22943975031375885,1.1152180433273315,26.099159240722656,0.007706667762249708,0.8,0.8,0,0.0,0.0,0.8,0.0
0.39,4.162749767303467,-0.13937892019748688,1.1531314849853516,19.36271095275879,-0.04562234506011009,0.8,0.8,0,0.0,0.0,0.8,0.0
0.40499999999999997,4.2236738204956055,-0.24478526413440704,1.1754379272460938,19.390396118164062,-0.12435772269964218,0.8,0.8,0,0.0,0.0,0.8,0.0
0.42,4.433197498321533,-0.34316107630729675,1.1164811849594116,31.561546325683594,-0.12373658269643784,0.8,0.8,0,0.0,0.0,0.8,0.0
0.435,4.686779022216797,-0.36193549633026123,1.1588658094406128,14.066079139709473,-0.06083090603351593,0.8,0.8,0,0.0,0.0,0.8,0.0
0.44999999999999996,4.80457067489624,-0.30012303590774536,1.1590768098831177,17.494394302368164,0.002611665753647685,0.8,0.8,0,0.0,0.0,0.8,0.0
0.46499999999999997,5.025742530822754,-0.17441962659358978,1.120072841644287,25.799562454223633,0.004653431940823793,0.8,0.8,0,0.0,0.0,0.8,0.0
0.48,5.202304840087891,-0.27908504009246826,1.1763027906417847,5.226795196533203,-0.09066295623779297,0.8,0.8,0,0.0,0.0,0.8,0.0
0.495,5.330628395080566,-0.33857277035713196,1.135346531867981,9.882248878479004,-0.13820648193359375,0.8,0.8,0,0.0,0.0,0.8,0.0
0.51,5.589991569519043,-0.5189335346221924,1.1433026790618896,19.189599990844727,-0.11230646073818207,0.8,0.8,0,0.0,0.0,0.8,0.0
0.525,5.707779884338379,-0.40869712829589844,1.2012678384780884,3.467899799346924,-0.014525542967021465,0.8,0.8,0,0.0,0.0,0.8,0.0
0.54,5.892212390899658,-0.36806750297546387,1.1148784160614014,19.000673294067383,0.011618351563811302,0.8,0.8,0,0.0,0.0,0.8,0.0
0.5549999999999999,6.203821182250977,-0.23009411990642548,1.1446653604507446,23.684953689575195,-0.022755049169063568,0.8,0.8,0,0.0,0.0,0.8,0.0
0.57,6.2620930671691895,-0.3491387665271759,1.183340072631836,17.827787399291992,-0.12387006729841232,0.8,0.8,0,0.0,0.0,0.8,0.0
0.585,6.472123622894287,-0.4297930896282196,1.1105389595031738,28.120269775390625,-0.11244411766529083,0.8,0.8,0,0.0,0.0,0.8,0.0
0.6,6.743904113769531,-0.5000686645507812,1.156595230102539,16.356483459472656,-0.07470675557851791,0.8,0.8,0,0.0,0.0,0.8,0.0
0.615,6.825523853302002,-0.42387109994888306,1.1711525917053223,16.522611618041992,-0.0026711381506174803,0.8,0.8,0,0.0,0.0,0.8,0.0
