t_s,x_mm,y_mm,z_mm,speed_mm_s,yaw_rad,left_drive,right_drive,flipped_physics_steps,sensor_left,sensor_right,speed_command,turn_command,brain_dn_left,brain_dn_right
0.015,0.02430381253361702,-0.009810947813093662,1.0950711965560913,4.8267059326171875,0.01608743704855442,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.03,0.19486360251903534,0.014591081067919731,1.1904083490371704,6.403464317321777,0.009750919416546822,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.045,0.3837200701236725,-0.06659673154354095,0.9933815002441406,18.801483154296875,-0.06882035732269287,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.06,0.49991101026535034,-0.09707435965538025,0.9875598549842834,13.590767860412598,-0.0799885019659996,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.075,0.6474936008453369,-0.1324189156293869,1.0041788816452026,6.831818103790283,-0.04731730744242668,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.09,0.760141134262085,-0.07078241556882858,0.9799275398254395,4.660857200622559,-0.013771750964224339,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.105,0.9263803362846375,-0.03004159964621067,0.9989103078842163,7.476608753204346,-0.024085473269224167,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.12,1.0548020601272583,-0.03160051628947258,0.9925894141197205,15.947466850280762,-0.12185613811016083,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.135,1.1619840860366821,-0.13652929663658142,0.9667302370071411,22.155702590942383,-0.15359283983707428,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.15,1.3686256408691406,-0.24880576133728027,1.007557988166809,17.560985565185547,-0.1429048329591751,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.16499999999999998,1.4577263593673706,-0.1807706654071808,1.014674425125122,12.243538856506348,-0.03466223552823067,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.18,1.6361268758773804,-0.09995061904191971,1.034285306930542,21.526262283325195,-0.037765324115753174,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
0.195,1.8823188543319702,-0.06181015446782112,1.0519908666610718,15.356522560119629,-0.07889529317617416,0.8,0.8,0,0.0,0.0,0.8,0.0,0,0
